date,NO2
2025-08-31,1.07161586129223e-05
2025-09-01,1.00569659480243e-05
2025-09-02,1.096523646992864e-05
2025-09-03,1.901012910821009e-05
2025-09-04,1.2233079360157715e-05
2025-09-05,2.0857416529906917e-05
2025-09-06,2.505601878510788e-05
2025-09-07,1.903587508422788e-05
2025-09-08,5.498573500517523e-06
2025-09-09,4.690060086431913e-05
2025-09-11,1.0712900802900547e-05
2025-09-12,2.7622956622508354e-05
2025-09-13,2.10471134778345e-05
2025-09-14,2.3919275918160565e-05
2025-09-15,1.3206247786001768e-05
2025-09-19,6.764244972146116e-06
2025-09-21,1.1336946954543237e-05
2025-09-22,1.459141458326485e-05
2025-09-23,2.443253606543294e-06
2025-09-24,3.6946414184058085e-05
2025-09-25,1.5712306776549667e-05
2025-09-26,3.820568599621765e-05
2025-09-27,2.844905611709692e-05
2025-09-28,-1.0519759143789995e-06
2025-10-02,1.4363215086632408e-05
2025-10-03,2.2738879124517556e-05
2025-10-04,2.41534216911532e-05
2025-10-05,2.219730777142104e-05
2025-10-07,1.7851776647148654e-05
2025-10-08,3.0388751838472672e-05
2025-10-09,2.9775083021377213e-05
2025-10-10,3.598904731916264e-05
2025-10-11,2.3859178327256814e-05
2025-10-14,1.1606767884586588e-06
2025-10-15,9.893183232634328e-07
2025-10-16,2.336018042115029e-05
2025-10-17,1.3732112165598664e-05
2025-10-19,2.2011901819496416e-05
2025-11-06,1.56673340825364e-05
2025-11-23,2.1577487132162787e-05
2025-11-25,3.173886216245592e-05
2025-11-26,8.198145951610059e-05
2025-12-05,3.166282476740889e-05
2025-12-12,4.4238717237021774e-05
2025-12-13,3.491126699373126e-05
2025-12-15,5.529474947252311e-05
2025-12-17,6.086550638428889e-05
2025-12-22,4.870510019827634e-05
2025-12-28,3.874619142152369e-05
2025-12-29,4.0122726204572245e-05
2026-01-01,3.600536001613364e-05
2026-01-19,5.3839528845855966e-05
2026-01-24,2.7564989068196155e-05
2026-01-30,2.6639407224138267e-05
2026-01-31,4.1318962757941335e-05
2026-02-02,1.3865868822904304e-05
2026-02-03,5.840079393237829e-05
2026-02-04,4.856740633840673e-05
2026-02-06,2.877635051845573e-05
2026-02-14,4.611782787833363e-05
2026-02-15,3.601187563617714e-05
2026-02-27,2.538052103773225e-05
2026-02-28,3.994713915744797e-05
2026-03-04,5.4821652156533673e-05
2026-03-08,5.344145029084757e-05
2026-03-12,5.337093534762971e-05
2026-03-14,4.963024184689857e-05
2026-03-15,3.215220931451768e-05
2026-03-18,3.140683111269027e-05
2026-03-23,6.228462734725326e-05
2026-03-27,2.502172901586164e-05
2026-04-01,4.337229711381951e-06
2026-04-02,3.9881379052530974e-05
2026-04-03,6.3564461925125215e-06
2026-04-07,2.766663055808749e-05
2026-04-08,2.167266393371392e-05
2026-04-13,1.9534401872078888e-05
2026-04-15,2.7148809749633077e-05
2026-04-16,2.4815330107230693e-05
2026-04-17,9.340070391772317e-06
2026-04-18,2.847196810762398e-05
2026-04-19,2.3783548385836184e-05
2026-04-20,1.153553239419125e-05
2026-04-25,1.953508945007343e-05
2026-04-26,4.730387445306405e-06
2026-05-04,3.4067190426867455e-05
2026-05-05,1.493469153501792e-05
2026-05-06,2.7636526283458807e-05
2026-05-07,1.8207878383691423e-05
2026-05-08,2.7909058189834468e-05
2026-05-10,2.89582421828527e-05
2026-05-11,2.093634793709498e-05
2026-05-12,1.6919069821597077e-05
2026-05-13,2.820421650540084e-05
2026-05-14,2.2255599105847068e-05
2026-05-15,1.5146812074817715e-05
2026-05-16,4.899775012745522e-05
2026-05-22,4.16319708165247e-05
2026-05-24,2.9898477805545557e-05
2026-05-26,2.322331056348048e-05
2026-05-28,5.289588443702087e-05
2026-05-29,3.295865099062212e-05
2026-05-31,3.228435161872767e-05
